CATÁLOGO DE SERVICIOS TIC DE CRUE V3.0;;
Cód. CRUE;Nombre del Servicio;Descripción del Servicio
CRUE_06_01;Servicio de provisión y renovación del puesto de trabajo.;Instalación y configuración del equipamiento informático (hardware y software) adecuado al puesto de trabajo. Entendiendo por puesto de trabajo tanto pc sobremesa, pc portátil, tablet o terminal móvil
CRUE_06_011;Cesión, préstamo y donación de equipamiento usado.;
CRUE_06_02;Mantenimiento de equipamiento informático corporativo.;Resolución y atención a los problemas e incidencias del puesto de trabajo. Entendiendo por puesto de trabajo tanto pc sobremesa, pc portátil, tablet, terminal móvil 
CRUE_06_03;Mantenimiento de software corporativo.;Instalación, actualización y configuración de software corporativo en el puesto de trabajo.
CRUE_06_031;Soporte a dispositivos personales (BYOD).;Soporte a la configuración para acceso a los dispositivos personales de forma segura
CRUE_06_04;Impresión Corporativa.;Instalación y configuración de equipamiento para servicios de impresión. Equipamiento local, en red, o a través de una empresa externa
CRUE_06_05;Seguridad Integral en el Puesto de Trabajo.;Configuración y administración centralizada de la seguridad en los equipos de usuario, incluyendo la administración de software de protección como antivirus.
CRUE_06_06;Asesoramiento para adquisición de equipamiento informático y software.;Asesoramiento técnico para el equipamiento y software más adecuado a las necesidades del usuario
CRUE_06_07;Soporte a eventos especiales.;Soporte técnico en la realización de eventos (jornadas, congresos, presentaciones, formación on-line)
